# Gene Family	DSM_H4_Abundance-RPKs	DSM_H5_Abundance-RPKs	DSM_H6_Abundance-RPKs	DSM_H7_Abundance-RPKs	SM_H4_Abundance-RPKs	SM_H5_Abundance-RPKs	SM_H6_Abundance-RPKs	SM_H7_Abundance-RPKs
UNMAPPED	3217104.0	1339623.0	2216979.0	2221624.0	3549418.0	7933696.0	3307675.0	2038489.0
UNGROUPED	17192.202	27304.315	41658.456	18382.171	203857.136	58032.715	72810.482	280.21
GO:0000015: [CC] phosphopyruvate hydratase complex	81.79	91.515	164.557	53.29	492.027	195.42	367.762	0.0
GO:0000027: [BP] ribosomal large subunit assembly	44.887	162.065	242.264	97.288	647.508	316.328	438.737	0.0
GO:0000028: [BP] ribosomal small subunit assembly	0.0	0.0	0.0	0.0	52.471	0.0	19.881	0.0
GO:0000034: [MF] adenine deaminase activity	41.533	70.692	125.102	34.104	254.333	150.626	253.559	0.0
GO:0000036: [MF] ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process	160.694	245.492	321.249	79.883	1199.905	611.015	508.318	0.0
GO:0000049: [MF] tRNA binding	1266.581	2457.513	3336.557	1206.766	10283.278	4440.596	6714.334	13.465
GO:0000050: [BP] urea cycle	0.0	0.0	0.0	0.0	57.469	0.0	9.391	0.0
GO:0000103: [BP] sulfate assimilation	7.945	11.933	34.19	0.0	214.19	59.023	27.389	0.0
GO:0000104: [MF] succinate dehydrogenase activity	71.509	78.744	160.886	41.744	389.751	159.859	271.764	0.0
GO:0000105: [BP] histidine biosynthetic process	85.473	99.569	230.165	61.941	815.228	316.307	343.74	8.762
GO:0000107: [MF] imidazoleglycerol-phosphate synthase activity	8.25	0.0	30.501	0.0	99.971	36.664	39.974	0.0
GO:0000150: [MF] recombinase activity	91.696	126.294	273.107	216.898	1529.794	196.413	349.632	0.0
GO:0000155: [MF] phosphorelay sensor kinase activity	304.625	417.855	681.8	202.956	2294.537	1136.599	1301.219	0.0
GO:0000156: [MF] phosphorelay response regulator activity	0.0	0.0	16.882	0.0	141.725	7.98	8.935	0.0
GO:0000160: [BP] phosphorelay signal transduction system	319.091	561.89	808.421	267.638	2487.744	1298.358	1587.955	0.0
GO:0000162: [BP] tryptophan biosynthetic process	12.661	25.581	90.851	20.272	183.512	125.853	140.991	0.0
GO:0000166: [MF] nucleotide binding	382.474	547.085	932.243	245.957	2798.479	1406.617	1807.332	0.0
GO:0000175: [MF] 3'-5'-exoribonuclease activity	0.0	8.911	10.045	0.0	141.784	0.0	29.242	0.0
GO:0000179: [MF] rRNA (adenine-N6,N6-)-dimethyltransferase activity	79.57	102.228	131.237	48.943	375.498	233.794	365.387	0.0
GO:0000210: [MF] NAD+ diphosphatase activity	0.0	0.0	0.0	0.0	0.0	11.583	0.0	0.0
GO:0000270: [BP] peptidoglycan metabolic process	0.0	0.0	8.168	0.0	201.636	30.225	8.63	0.0
