# Gene Family	DSM_H4_Abundance-RPKs	DSM_H5_Abundance-RPKs	DSM_H6_Abundance-RPKs	DSM_H7_Abundance-RPKs	SM_H4_Abundance-RPKs	SM_H5_Abundance-RPKs	SM_H6_Abundance-RPKs	SM_H7_Abundance-RPKs
UNMAPPED	3217104.0	1339623.0	2216979.0	2221624.0	3549418.0	7933696.0	3307675.0	2038489.0
UNGROUPED	17192.202	27304.315	41658.456	18382.171	203857.136	58032.715	72810.482	280.21
UNGROUPED|g__Acinetobacter.s__Acinetobacter_boissieri	0.0	0.0	3486.918	0.0	0.0	0.0	0.0	0.0
UNGROUPED|g__Acinetobacter.s__Acinetobacter_nectaris	1019.302	0.0	2476.163	0.0	10870.666	0.0	1587.899	0.0
UNGROUPED|g__Acinetobacter.s__Acinetobacter_pittii	0.0	0.0	0.0	0.0	9352.075	0.0	0.0	0.0
UNGROUPED|g__Acinetobacter.s__Acinetobacter_seifertii	0.0	0.0	0.0	0.0	476.104	0.0	0.0	0.0
UNGROUPED|g__Bartonella.s__Bartonella_apis	0.0	0.0	0.0	0.0	0.0	452.722	0.0	0.0
UNGROUPED|g__Bombella.s__Bombella_intestini	0.0	180.97	0.0	0.0	221.262	261.159	190.603	0.0
UNGROUPED|g__Cutibacterium.s__Cutibacterium_acnes	0.0	1264.789	0.0	0.0	0.0	0.0	0.0	0.0
UNGROUPED|g__Enterobacter.s__Enterobacter_cloacae_complex	0.0	0.0	0.0	0.0	21364.761	0.0	0.0	0.0
UNGROUPED|g__Erwinia.s__Erwinia_piriflorinigrans	0.0	0.0	806.306	0.0	0.0	0.0	4732.018	0.0
UNGROUPED|g__Frischella.s__Frischella_perrara	0.0	80.692	0.0	0.0	0.0	2978.256	0.0	0.0
UNGROUPED|g__Fructobacillus.s__Fructobacillus_fructosus	0.0	173.166	100.708	193.471	943.682	286.786	330.425	0.0
UNGROUPED|g__Gilliamella.s__Gilliamella_apicola	0.0	134.988	0.0	0.0	255.533	3190.475	0.0	0.0
UNGROUPED|g__Klebsiella.s__Klebsiella_pneumoniae	0.0	0.0	0.0	0.0	27971.151	0.0	0.0	0.0
UNGROUPED|g__Lactobacillus.s__Lactobacillus_apinorum	335.727	1724.018	4423.528	454.748	6092.835	6713.212	9252.216	0.0
UNGROUPED|g__Lactobacillus.s__Lactobacillus_helsingborgensis	0.0	11.838	0.0	0.0	0.0	35.739	0.0	0.0
UNGROUPED|g__Lactobacillus.s__Lactobacillus_kunkeei	15300.61	22486.374	29086.135	16641.171	108198.06	43442.78	53104.108	199.355
UNGROUPED|g__Leuconostoc.s__Leuconostoc_pseudomesenteroides	0.0	0.0	0.0	0.0	292.649	0.0	0.0	0.0
UNGROUPED|g__Meiothermus.s__Meiothermus_silvanus	0.0	645.235	0.0	0.0	0.0	0.0	0.0	0.0
UNGROUPED|g__Pantoea.s__Pantoea_agglomerans	0.0	0.0	0.0	0.0	1413.734	0.0	0.0	0.0
